,movieCd,companyCd,companyNm,companyNmEn,companyPartNm
0,20200566,20199901,한국예술종합학교 산학협력단,,제작사
1,20200566,20216561,(주)스튜디오디에이치엘,Studio dhL inc.,배급사
0,20208101,20169630,(주)쿠키픽쳐스,,제작사
1,20208101,20100285,판씨네마(주),Pancinema Corp.,배급사
2,20208101,20111211,(주)케이티알파,kt alpha,배급사
3,20208101,20111211,(주)케이티알파,kt alpha,제공
4,20208101,20111211,(주)케이티알파,kt alpha,해외세일즈사
0,19900046,20111077,동방영화사,,제작사
0,19750143,20114659,신프로덕션,,제작사
0,20226585,20100332,(주)영화제작전원사 ,Jeonwonsa Film Co.,제작사
1,20226585,20100332,(주)영화제작전원사 ,Jeonwonsa Film Co.,배급사
2,20226585,20142968,(주)콘텐츠판다,CONTENTS PANDA,배급사
0,20198429,20100540,리얼라이즈픽쳐스(주),"Realies Pictures, Inc.",제작사
1,20198429,20188021,롯데컬처웍스(주)롯데엔터테인먼트,Lotte Entertainment,배급사
2,20198429,20188021,롯데컬처웍스(주)롯데엔터테인먼트,Lotte Entertainment,제공
0,20198461,20126515,(주)영화사 월광,MOONLIGHT Film,제작사
1,20198461,20189281,(주)에이스메이커무비웍스,ACEMAKER MOVIEWORKS,배급사
2,20198461,20189281,(주)에이스메이커무비웍스,ACEMAKER MOVIEWORKS,제공
0,20224598,20217743,(주)고고스튜디오,,제작사
1,20224598,20063188,씨제이 씨지브이(CJ CGV)(주),CJ CGV,배급사
2,20224598,20229461,(주)바이포엠스튜디오,BY4MSTUDIO,제공
0,20227665,20217585,(주)위즈온센,"WYS en Scene Co., Ltd.",제작사
1,20227665,20204721,CGV ICECON,CGV ICECON,배급사
2,20227665,20110924,(주)판타지오, Fantagio,제공
3,20227665,20217585,(주)위즈온센,"WYS en Scene Co., Ltd.",제공
4,20227665,20111211,(주)케이티알파,kt alpha,제공
0,20170841,20061784,(주)영화사수박,"Watermelon Pictures Co., Ltd.",제작사
1,20170841,20141469,메가박스중앙(주)플러스엠,Megabox Plus M,배급사
2,20170841,20141469,메가박스중앙(주)플러스엠,Megabox Plus M,제공
0,20211546,20100572,한국영화아카데미,Korean Academy of Film Arts(KAFA),제작사
1,20211546,20061718,찬란,Challan Film,배급사
0,20217126,20217161,화원,film flowergarden,제작사
1,20217126,20228951,(주)더쿱디스트리뷰션,THE COUP DISTRIBUTION,배급사
0,20224717,20100572,한국영화아카데미,Korean Academy of Film Arts(KAFA),제작사
1,20224717,20188741,(주)트리플픽쳐스,Triple Pictures Inc.,배급사
0,20217624,20205261,(주)슬기로운늑대,"WiseWolf Co.,Ltd",제작사
1,20217624,20142369,(유)조이앤시네마,JOY N CINEMA,제작사
2,20217624,20161101,(주)제이앤씨미디어그룹,,배급사
3,20217624,20161101,(주)제이앤씨미디어그룹,,제공
0,20211566,20100572,한국영화아카데미,Korean Academy of Film Arts(KAFA),제작사
1,20211566,20061718,찬란,Challan Film,배급사
0,20192206,20192641,주식회사 덱스터 픽쳐스,"Dexter Pictures Co.,Ltd.  ",제작사
1,20192206,20140593,(주)퍼펙트스톰필름,Perfect Storm Film Inc.,제작사
2,20192206,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제작사
3,20192206,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사
4,20192206,20160941,(주)덱스터스튜디오,"Dexter Studios Co., Ltd.",배급사
5,20192206,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
6,20192206,20160941,(주)덱스터스튜디오,"Dexter Studios Co., Ltd.",제공
7,20192206,20100109,CJ ENM,CJ ENM,해외세일즈사
0,20211242,20203424,(주)영화사 설렘,,제작사
1,20211242,20217743,(주)고고스튜디오,,제작사
2,20211242,20063188,씨제이 씨지브이(CJ CGV)(주),CJ CGV,배급사
3,20211242,20111211,(주)케이티알파,kt alpha,해외세일즈사
0,20219310,20137915,(주)파란오이,Paranoi,제작사
1,20219310,20190282,안목,ANMOK,제작사
2,20219310,20205801,(주)씨네필운,cinepirun,배급사
0,20209297,20141688,두물머리픽쳐스,,제작사
1,20209297,20100631,(주)영화사 진진,JINJIN Pictures,배급사
2,20209297,20141688,두물머리픽쳐스,,제공
3,20209297,20100631,(주)영화사 진진,JINJIN Pictures,공동제공
0,20216056,20203741,끼리끼리 필름,KiriKiri Film,제작사
1,20216056,20100631,(주)영화사 진진,JINJIN Pictures,배급사
2,20216056,20203741,끼리끼리 필름,KiriKiri Film,제공
3,20216056,20100631,(주)영화사 진진,JINJIN Pictures,공동제공
4,20216056,20100904,(주)엠라인디스트리뷰션,M-Line Distribution,해외세일즈사
0,20200523,20141288,(주)미루픽처스,MIRU Pictures,제작사
1,20200523,20100631,(주)영화사 진진,JINJIN Pictures,배급사
0,20227855,20130184,스마일컨텐츠,,제작사
1,20227855,20130184,스마일컨텐츠,,배급사
0,20206257,20100450,영화사 집,ZIP CINEMA,제작사
1,20206257,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사
2,20206257,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
0,20209654,20100357,(주)모호필름,Moho Film,제작사
1,20209654,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사
2,20209654,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
0,20226739,20217163,(주)모꼬지,,제작사
1,20226739,20100932,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,배급사
2,20226739,20203701,(주)블루라벨픽쳐스,Bluelabel Pictures,배급사
0,20191162,20192561,미디어나무,,제작사
1,20191162,20123217,(주)시네마달,Cinema DAL,배급사
0,20212391,20100536,푸른영상,P.U.R.N Production,제작사
1,20212391,20123217,(주)시네마달,Cinema DAL,배급사
0,20209349,20229265,(주)영화사이다,,제작사
1,20209349,20229266,환상의빛(주),,제작사
2,20209349,20188741,(주)트리플픽쳐스,Triple Pictures Inc.,배급사
3,20209349,20229265,(주)영화사이다,,제공
4,20209349,20188741,(주)트리플픽쳐스,Triple Pictures Inc.,공동제공
0,20227225,20114875,KBS,KBS,제작사
1,20227225,20217061,(주)아센디오,"ASCENDIO., CO. LTD",제작사
2,20227225,20141088,와이드 릴리즈(주),Wide Release,배급사
3,20227225,20114875,KBS,KBS,제공
4,20227225,20216542,콘텐츠웨이브(주),Wavve,공동제공
0,20209343,20123063,(주)빅스톤픽쳐스,BIGSTONEPICTURES,제작사
1,20209343,20188021,롯데컬처웍스(주)롯데엔터테인먼트,Lotte Entertainment,배급사
2,20209343,20188021,롯데컬처웍스(주)롯데엔터테인먼트,Lotte Entertainment,제공
0,20226679,20229242,(주)스튜디오버튼 ,,제작사
1,20226679,20141469,메가박스중앙(주)플러스엠,Megabox Plus M,배급사
0,20193450,20140808,(주)영화사레드피터,"REDPETER FILMS Co., Ltd",제작사
1,20193450,20100932,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,배급사
2,20193450,20100932,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,제공
3,20193450,20142968,(주)콘텐츠판다,CONTENTS PANDA,해외세일즈사
0,20225843,20216381,(주)나인테일즈코리아,9taleskorea,제작사
1,20225843,20203241,주식회사 블루필름웍스,Blue Film Works,배급사
0,20226444,20157651,(주)퍼니플럭스,,제작사
1,20226444,20100932,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,배급사
0,20201875,20229381,선데이시네마,,제작사
1,20201875,20172802,아이 엠,eye m,배급사
0,20217124,20217561,탁구필름,,제작사
1,20217124,20111582,(주)엣나인필름,"Atnine Film Co., Ltd.",배급사
0,19940005,20100658,배창호프로덕션,,제작사
1,19940005,20205601,(주)스튜디오 보난자,STUDIO BONANZA,배급사
0,20226220,20176101,(주)이스트게이트컴퍼니,,제작사
1,20226220,20100631,(주)영화사 진진,JINJIN Pictures,배급사
2,20226220,20176101,(주)이스트게이트컴퍼니,,제공
3,20226220,20100631,(주)영화사 진진,JINJIN Pictures,제공
0,20209132,20169609,(재)무주산골문화재단,,제작사
1,20209132,20161941,(주)디오시네마,D.O.CINEMA,배급사
2,20209132,20169609,(재)무주산골문화재단,,해외세일즈사
0,20226670,20229269,(주)초이락컨텐츠컴퍼니,,제작사
1,20226670,20229341,스튜디오더블유바바(주),,제작사
2,20226670,20188021,롯데컬처웍스(주)롯데엔터테인먼트,Lotte Entertainment,배급사
3,20226670,20229031,(주)초이락미디어,ChoiRock Media,제공
0,20227352,20229361,영화사 퐑,,제작사
1,20227352,20062417,(주)마노엔터테인먼트,Mano Entertainment Inc.,배급사
2,20227352,20229361,영화사 퐑,,제공
3,20227352,20062417,(주)마노엔터테인먼트,Mano Entertainment Inc.,공동제공
0,20216224,20186741,한국영상대학교,,제작사
1,20216224,20186621,필름에이픽쳐스,FilmA Pictures,제작사
2,20216224,20192081,주식회사 제이씨엔터웍스,,제작사
3,20216224,20158370,(주)디스테이션,,배급사
4,20216224,20192081,주식회사 제이씨엔터웍스,,배급사
0,20212442,20229264,애프터 미투 프로젝트 팀,,제작사
1,20212442,20172421,(주)영화사 그램,gram FILMS,배급사
0,20100076,20103649,포커스피쳐스,Focus Features,제작사
1,20100076,20101135,주식회사 마운틴픽쳐스,"Mountain Pictures Co.,Ltd",배급사
2,20100076,20100209,(주)스폰지이엔티,Sponge Ent. Inc.,수입사
0,20209515,20123255,(주)레인보우팩토리,Rainbow Factory,제작사
1,20209515,20111582,(주)엣나인필름,"Atnine Film Co., Ltd.",배급사
2,20209515,20100904,(주)엠라인디스트리뷰션,M-Line Distribution,해외세일즈사
0,20178941,20175721,(주)영화사진,Jin Pictures,제작사
1,20178941,20126335,(주)미인픽쳐스,MiiN Pictures,제작사
2,20178941,20102327,CGV아트하우스,CGV ARTHOUSE,배급사
3,20178941,20102327,CGV아트하우스,CGV ARTHOUSE,제공
4,20178941,20100851,(주)화인컷,"Finecut Co., Ltd.",해외세일즈사
0,20020248,20100123,(주)싸이더스,Sidus Corporation,제작사
1,20020248,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",배급사
2,20020248,20100202,영화사청어람(주),Chungeorahm Film ,배급사
3,20020248,20100558,(주)바른손이앤에이,Barunson E&A,제공
0,20219628,20100340,(주)수필름,SOO FILM,제작사
1,20219628,20063279,(주)홍필름,Hong Film,제작사
2,20219628,20100932,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,배급사
3,20219628,20100932,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,제공
0,20101028,20100036,㈜인디스토리,INDIESTORY Inc. ,제작사
1,20101028,20063285,조금만 더 가까이 제작위원회,,제작사
2,20101028,20100929,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),KT&G SangsangMadang,배급사
3,20101028,20100929,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),KT&G SangsangMadang,제공
4,20101028,20100036,㈜인디스토리,INDIESTORY Inc. ,해외세일즈사
5,20101028,20111045,(주)소닉붐사운드,Sonicboom Sound,제작서비스-사운드
6,20101028,20111045,(주)소닉붐사운드,Sonicboom Sound,제작서비스-음악
0,19910073,20101041,이만모션픽쳐,,제작사
0,20181198,20100572,한국영화아카데미,Korean Academy of Film Arts(KAFA),제작사
1,20181198,20100929,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),KT&G SangsangMadang,배급사
2,20181198,20100548,영화진흥위원회,Korean Film Council (KOFIC),제공
3,20181198,20100904,(주)엠라인디스트리뷰션,M-Line Distribution,해외세일즈사
0,20162361,20168488,명필름랩,MYUNG FILMS LAB,제작사
1,20162361,20139617,(주)리틀빅픽쳐스,Little Big Pictures,배급사
2,20162361,20100851,(주)화인컷,"Finecut Co., Ltd.",해외세일즈사
0,20010047,20100157,눈엔터테인먼트(주),Noon Entertainment,제작사
1,20010047,20100932,(주)넥스트엔터테인먼트월드(NEW),Next Entertainment World,배급사
2,20010047,20162181,이언픽쳐스,,배급사
3,20010047,20101568,브에나비스타인터내셔널코리아,Vuenavista International Kores,배급사
4,20010047,20100516,씨네클릭 아시아(팬텀),"Cineclick Asia(Fantom co.,Ltd)",해외세일즈사
0,19960024,20100961,오스카픽쳐스,,제작사
0,20175830,20130011,(주)블랙홀엔터테인먼트,Blackhole Ent.,제작사
1,20175830,20101104,(주)나이너스엔터테인먼트,9ers Entertainment,배급사
2,20175830,20186641,주식회사 시온픽쳐스,CION Pictures,배급사
3,20175830,20186641,주식회사 시온픽쳐스,CION Pictures,제공
0,20126668,20061687,(주)스넵쏘울,,제작사
1,20126668,20124256,영화사뜰(주),,제작사
2,20126668,20061687,(주)스넵쏘울,,배급사
3,20126668,20103809,(주)미로비젼,Mirovision Inc. ,해외세일즈사
0,19748209,20100478,합동영화(주),,제작사
0,19898434,20111893,영성전영공사,,제작사
1,19898434,20111164,반도키네마사,,수입사
0,19980133,20103893,골든하베스트,Golden Harvest,제작사
0,20040690,20103118,아르떼,Arte ,제작사
1,20040690,20102771,콜럼비아 픽쳐스 코포레이션,Columbia Pictures Corporation,제작사
2,20040690,20103701,프랑스3시네마,France 3 Cinema,제작사
3,20040690,20103525,젯톤프로덕션,Jet Tone Production ,제작사
4,20040690,20111916,제2 독일 텔레비젼 협회,Zweites Deutsches Fernsehen (ZDF),제작사
5,20040690,20103657,포르티시모 필름,Fortissimo Films,제작사
6,20040690,20158370,(주)디스테이션,,배급사
7,20040690,20101507,이십세기폭스필름코퍼레이션,20th Century Fox Film Corporation,배급사
8,20040690,20139757,(주)엔케이컨텐츠,,수입사
9,20040690,20101507,이십세기폭스필름코퍼레이션,20th Century Fox Film Corporation,수입사
0,20181105,20141213,영화사고래,,제작사
1,20181105,20123217,(주)시네마달,Cinema DAL,배급사
0,20060125,20100108,㈜필름지,FILMZ Corp.,제작사
1,20060125,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",배급사
2,20060125,20100108,㈜필름지,FILMZ Corp.,해외세일즈사
0,19950024,20100168,(주)박철수필름,Park Chul Soo Films,제작사
1,19950024,20100109,CJ ENM,CJ ENM,해외세일즈사
0,20070435,20100269,쇼이스트(주),"ShowEast Co., Ltd.",제작사
1,20070435,20100109,CJ ENM,CJ ENM,배급사
2,20070435,20100904,(주)엠라인디스트리뷰션,M-Line Distribution,해외세일즈사
3,20070435,20139475,유영분장,Yuyoung Makeup,제작서비스-분장/헤어
4,20070435,20111553,(주)케이제이네트,KJ-net,프로덕션 서비스
0,20111774,20061786,(주)오션필름,,제작사
1,20111774,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",배급사
2,20111774,20111231,(주)트로피엔터테인먼트,,제공
3,20111774,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",공동제공
4,20111774,20111171,(주)아시아인베스트먼트,,공동제공
5,20111774,20061361,소빅창업투자(주),,공동제공
6,20111774,20123336,SBI 인베스트먼트(주),,공동제공
7,20111774,20100904,(주)엠라인디스트리뷰션,M-Line Distribution,해외세일즈사
8,20111774,20110499,(주)스타이스트디지탈랩,Stareast Digital Lab,제작서비스-시각효과/특수효과
9,20111774,20111141,디지털 아이디어,Digital IDEA,제작서비스-후반작업(VFX)
0,20148846,20100239,(주)타이거픽쳐스,Tiger Pictures Inc.,제작사
1,20148846,20100103,(주)쇼박스,Showbox Corp,배급사
2,20148846,20100103,(주)쇼박스,Showbox Corp,제공
3,20148846,20137115,(주)인터파크,,공동제공
4,20148846,20100103,(주)쇼박스,Showbox Corp,해외세일즈사
0,20124079,20100540,리얼라이즈픽쳐스(주),"Realies Pictures, Inc.",제작사
1,20124079,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제작사
2,20124079,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사
3,20124079,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
4,20124079,20111391,비엠씨영화전문투자조합,,공동제공
5,20124079,20114892,컴퍼니케이파트너스 콘텐츠 전문투자조합,,공동제공
6,20124079,20114895,그린손해보험(주),"Green non-life insurance co,. Ltd",공동제공
7,20124079,20061365,이수창업투자(주),,공동제공
8,20124079,20061361,소빅창업투자(주),,공동제공
9,20124079,20123779,에스크베리타스자산운용(주),,공동제공
10,20124079,20061362,CJ창업투자(주),CJ Venture Investment,공동제공
11,20124079,20123115,MVP창투문화산업투자조합,,공동제공
12,20124079,20111451,(유)동문파트너즈,,공동제공
13,20124079,20100109,CJ ENM,CJ ENM,해외세일즈사
0,20197434,20100207,(주)씨네월드,Cineworld,제작사
1,20197434,20141469,메가박스중앙(주)플러스엠,Megabox Plus M,배급사
2,20197434,20141469,메가박스중앙(주)플러스엠,Megabox Plus M,제공
3,20197434,20100904,(주)엠라인디스트리뷰션,M-Line Distribution,해외세일즈사
0,20050333,20100207,(주)씨네월드,Cineworld,제작사
1,20050333,20100318,(주)이글픽쳐스,Eagle Pictures,제작사
2,20050333,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",배급사
3,20050333,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",제공
4,20050333,20100109,CJ ENM,CJ ENM,해외세일즈사
5,20050333,20110935,히스토리 디앤피,HISTORY D&P,제작서비스-미술
6,20050333,20111032,이펙트스톰,e-storm(effect storm),제작서비스-시각효과/특수효과
0,20210029,20228922,왓에버웍스,,제작사
1,20210029,20100036,㈜인디스토리,INDIESTORY Inc. ,배급사
2,20210029,20100904,(주)엠라인디스트리뷰션,M-Line Distribution,해외세일즈사
0,20217826,20100781,(주)티피에스컴퍼니,TPS Company,제작사
1,20217826,20100123,(주)싸이더스,Sidus Corporation,제작사
2,20217826,20154928,(주)홈초이스,HOME CHOICE,배급사
3,20217826,20100123,(주)싸이더스,Sidus Corporation,배급사
4,20217826,20154928,(주)홈초이스,HOME CHOICE,제공
5,20217826,20100123,(주)싸이더스,Sidus Corporation,제공
6,20217826,20154928,(주)홈초이스,HOME CHOICE,해외세일즈사
0,20207566,20130317,영화사 못,MOT Films,제작사
1,20207566,20111582,(주)엣나인필름,"Atnine Film Co., Ltd.",배급사
2,20207566,20175521,(주)메타플레이 ,,배급사
3,20207566,20100904,(주)엠라인디스트리뷰션,M-Line Distribution,해외세일즈사
0,20202254,20156508,레드무비,,제작사
1,20202254,20156508,레드무비,,배급사
0,20040745,20101412,월트 디즈니 픽쳐스,Walt Disney Pictures,제작사
1,20040745,20104491,픽사 애니메이션 스튜디오,Pixar Animation Studios,제작사
2,20040745,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,배급사
3,20040745,20100616,한국소니픽쳐스릴리징브에나비스타영화㈜,Sony Pictures Realizing Buena Vista ,수입사
0,20110279,20040104,(주)오돌또기 ,Odoltogi,제작사
1,20110279,20100545,(주)명필름,Myung Films,제작사
2,20110279,20100520,롯데쇼핑㈜롯데엔터테인먼트,"Lotte shopping Lotte Entertainment Co.,Ltd",배급사
3,20110279,20100520,롯데쇼핑㈜롯데엔터테인먼트,"Lotte shopping Lotte Entertainment Co.,Ltd",제공
4,20110279,20100545,(주)명필름,Myung Films,제공
5,20110279,20110637,(재)경기디지털콘텐츠진흥원,GDCA,공동제공
6,20110279,20061361,소빅창업투자(주),,공동제공
7,20110279,20100851,(주)화인컷,"Finecut Co., Ltd.",해외세일즈사
8,20110279,20110335,㈜블루캡,BLUECAP,제작서비스-사운드
9,20110279,20110288,김상범 편집실,KIM Sang-bum Studio,제작서비스-편집
0,20161589,20100572,한국영화아카데미,Korean Academy of Film Arts(KAFA),제작사
1,20161589,20063097,주식회사 뭉클픽쳐스,,제작사
2,20161589,20102327,CGV아트하우스,CGV ARTHOUSE,배급사
3,20161589,20100548,영화진흥위원회,Korean Film Council (KOFIC),제공
4,20161589,20100904,(주)엠라인디스트리뷰션,M-Line Distribution,해외세일즈사
0,20176104,20100278,(주)제이케이필름,JK Film,제작사
1,20176104,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제작사
2,20176104,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사
3,20176104,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
4,20176104,20100109,CJ ENM,CJ ENM,해외세일즈사
0,20120426,20122471,(주)인벤트스톤,Invent Stone corp,제작사
1,20120426,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사
2,20120426,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
3,20120426,20100109,CJ ENM,CJ ENM,해외세일즈사
0,20156559,20100004,지오엔터테인먼트,ZIO Entertainment Inc.,제작사
1,20156559,20063066,(주)퍼플켓츠필름,,제작사
2,20156559,20154814,(주)빅스토리픽쳐스,Big Story Pictures,제작사
3,20156559,20158048,(주)콘텐츠 난다긴다,Contents Nandakinda Inc.,배급사
4,20156559,20114832,미시간벤처캐피탈(주),"Michigan Venture Capital Co., Ltd.",제공
5,20156559,20103809,(주)미로비젼,Mirovision Inc. ,해외세일즈사
0,20223985,20217162,(주)고집스튜디오,Gozip Studio,제작사
1,20223985,20188741,(주)트리플픽쳐스,Triple Pictures Inc.,배급사
0,20081395,20100128,(주)주피터필름,Jupiter Film,제작사
1,20081395,20100109,CJ ENM,CJ ENM,배급사
2,20081395,20061361,소빅창업투자(주),,공동제공
3,20081395,20100109,CJ ENM,CJ ENM,해외세일즈사
4,20081395,20114686,씨 47,C47 ,제작서비스-편집
0,20189067,20154008,영화사 배,bae pictures,제작사
1,20189067,20139617,(주)리틀빅픽쳐스,Little Big Pictures,배급사
2,20189067,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
3,20189067,20100904,(주)엠라인디스트리뷰션,M-Line Distribution,해외세일즈사
0,20124054,20100362,(주)영화사비단길,Bidangil Pictures,제작사
1,20124054,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사
2,20124054,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
3,20124054,20111391,비엠씨영화전문투자조합,,공동제공
4,20124054,20114892,컴퍼니케이파트너스 콘텐츠 전문투자조합,,공동제공
5,20124054,20114895,그린손해보험(주),"Green non-life insurance co,. Ltd",공동제공
6,20124054,20061365,이수창업투자(주),,공동제공
7,20124054,20061361,소빅창업투자(주),,공동제공
8,20124054,20123779,에스크베리타스자산운용(주),,공동제공
9,20124054,20061362,CJ창업투자(주),CJ Venture Investment,공동제공
10,20124054,20123115,MVP창투문화산업투자조합,,공동제공
11,20124054,20111451,(유)동문파트너즈,,공동제공
12,20124054,20100109,CJ ENM,CJ ENM,해외세일즈사
0,20060006,20101897,아스믹에이스엔터테인먼트,Asmik Ace Entertainment,제작사
1,20060006,20060623,스폰지,,배급사
2,20060006,20060623,스폰지,,수입사
0,19950202,20103130,돈 심슨/제리부룩하이머 필름,Don Simpson/Jerry Bruckheimer Films,제작사
1,19950202,20101727,콜럼비아트라이스타㈜,,수입사
0,20030103,20061735,콜럼비아트라이스타,,제작사
1,20030103,20061735,콜럼비아트라이스타,,배급사
0,19969014,20101730,알타미라픽쳐스,Altamira Pictures Inc.,제작사
1,19969014,20102965,다이에 스튜디오,Daiei Studios,제작사
2,19969014,20104401,엔티브이,NTV,제작사
3,19969014,20100506,에이에프디에프,AFDF,수입사
0,20010038,20111723,(주)좋은영화,,제작사
1,20010038,20100946,좋은영화,Fun & Happiness Film,제작사
2,20010038,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",배급사
3,20010038,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",해외세일즈사
0,20211472,20228982,(주)콘텐츠지,Contents G.,제작사
1,20211472,20111361,(주)영화사채움,cheum film,제작사
2,20211472,20139196,TCO(주)더콘텐츠온,THE CONTENTS ON,배급사
3,20211472,20063188,씨제이 씨지브이(CJ CGV)(주),CJ CGV,배급사
4,20211472,20139196,TCO(주)더콘텐츠온,THE CONTENTS ON,제공
0,20090578,20101337,더 웨인스테인 컴퍼니,The Weinstein Company LLC,제작사
1,20090578,20100603,유니버설픽쳐스인터내셔널 코리아(유),Universal Pictures International Korea,배급사
2,20090578,20100603,유니버설픽쳐스인터내셔널 코리아(유),Universal Pictures International Korea,수입사
0,20227506,20063188,씨제이 씨지브이(CJ CGV)(주),CJ CGV,제작사
1,20227506,20063188,씨제이 씨지브이(CJ CGV)(주),CJ CGV,배급사
0,20169284,20126235,영희야 놀자,Play Girls Play,제작사
1,20169284,20100929,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),KT&G SangsangMadang,배급사
0,20219820,20157188,(주)큰물고기미디어,BIGFISHMEDIA,제작사
1,20219820,20188741,(주)트리플픽쳐스,Triple Pictures Inc.,배급사
0,20223456,20229271,(주)빅픽처,,제작사
1,20223456,20154728,주식회사 씨엠닉스,CMNIX,배급사
0,20215601,20100278,(주)제이케이필름,JK Film,제작사
1,20215601,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제작사
2,20215601,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사
3,20215601,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
0,20211244,20228863,해랑사,,제작사
1,20211244,20101102,오드,AUD,배급사
2,20211244,20101102,오드,AUD,제공
0,20197922,2016841,(주)하이브미디어코프,Hive Media Corp.,제작사
1,20197922,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사
2,20197922,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
0,20209137,20125955,(주)타이거시네마,Tiger Cinema,제작사
1,20209137,20158092,DGC,,제작사
2,20209137,20188381,필름다빈,FILM DABIN,배급사
0,20196776,20111552,주식회사 다다쇼,Studio Dadashow,제작사
1,20196776,20140808,(주)영화사레드피터,"REDPETER FILMS Co., Ltd",제작사
2,20196776,20063188,씨제이 씨지브이(CJ CGV)(주),CJ CGV,배급사
3,20196776,20100851,(주)화인컷,"Finecut Co., Ltd.",해외세일즈사
0,20225892,20192461,주식회사 왓챠,WATCHA,제작사
1,20225892,20192461,주식회사 왓챠,WATCHA,배급사
2,20225892,20192461,주식회사 왓챠,WATCHA,제공
0,20211792,20157708,(주)아티스트스튜디오,,제작사
1,20211792,20122737,(주)사나이픽처스,SANAI Pictures,제작사
2,20211792,20141469,메가박스중앙(주)플러스엠,Megabox Plus M,배급사
3,20211792,20141469,메가박스중앙(주)플러스엠,Megabox Plus M,제공
0,20162242,20157911,앤유엔터테인먼트(주),,제작사
1,20162242,20123216,영화사삼십육번지유한회사,,제작사
2,20162242,20063002,(주)인디플러그,Indieplug Inc,배급사
0,20218685,20229221,레드펀트,REDPHANT,제작사
1,20218685,20188381,필름다빈,FILM DABIN,배급사
0,20080266,20100640,(주)디엔에이프로덕션,"DNA PRODUCTION CO.,LTD",제작사
1,20080266,20100853,디앤에이프로덕션,DNA PRODUCTION,제작사
2,20080266,20111582,(주)엣나인필름,"Atnine Film Co., Ltd.",배급사
3,20080266,20100209,(주)스폰지이엔티,Sponge Ent. Inc.,배급사
4,20080266,20060623,스폰지,,배급사
5,20080266,20100036,㈜인디스토리,INDIESTORY Inc. ,해외세일즈사
6,20080266,20110377,세방현상(주),SEBANG FILM LABORATORY CO.LTD.,제작서비스-현상
0,20192601,20125317,(주)아시아홈 엔터테인먼트,"Asiahome Entertainment Co., Ltd.",제작사
1,20192601,20217402,(주)제작사 라제떼,,제작사
2,20192601,20229107,기승전결,,제작사
3,20192601,20153894,(주)콘텐츠윙,"CONTENTSWING Co.,Ltd",배급사
0,20217391,20217183,마름모필름,Mareummo Film,제작사
1,20217391,20061718,찬란,Challan Film,배급사
2,20217391,20142968,(주)콘텐츠판다,CONTENTS PANDA,해외세일즈사
0,20209934,20125955,(주)타이거시네마,Tiger Cinema,제작사
1,20209934,20158092,DGC,,제작사
2,20209934,20123058,그린나래미디어(주),GREEN NARAE MEDIA,배급사
3,20209934,20123058,그린나래미디어(주),GREEN NARAE MEDIA,제공
0,19970018,20100778,정륭사,,제작사
1,19970018,20100962,애드시네마,,제작서비스-기획
0,19420001,20101670,워너브러더스사㈜,,제작사
1,19420001,20100043,워너브러더스 코리아(주),Warner Bros. Korea,배급사
