userId,movieId,rating,comments,reviewTime
acia,5,3.0,,20010606211559
acma,5,3.0,,19970506071103
aclb,5,3.5,,20050110110424
acla,5,2.0,,20000418182033
ackb,5,3.5,,20030903200459
acka,5,4.0,,20060217051736
acja,5,3.0,,19961229122433
acib,5,2.0,,19961107041325
achb,5,4.5,,20050411015535
acha,5,4.0,,19970221133643
acgb,5,2.5,,20080817063740
acga,5,4.0,,20000525030742
acfb,5,4.0,,19961019170645
acfa,5,4.0,,19970109063925
aceb,5,3.0,,19961218135546
acea,5,2.5,,20050424021028
acdb,5,4.5,,20140421081719
acda,5,1.0,,20130219032242
accb,5,4.0,,19960910023822
acca,5,5.0,,19961009180747
acbb,5,3.0,,20041010174900
acba,5,4.0,,19960815091956
acab,5,3.0,,20160331062426
acaa,5,3.0,,19960716102133
abzb,5,5.0,,19970122173203
abza,5,5.0,,20130424193305
abyb,5,3.0,,19970214132948
abya,5,3.0,,19970318174634
abxb,5,3.0,,19970215114302
abxa,5,4.5,,20040821063458
acmb,5,3.0,,19970623132039
acna,5,2.0,,19961216081138
acjb,5,4.0,,19970121203517
acoa,5,2.0,,20000508141534
acnb,5,2.0,,20050224205833
acya,5,4.0,,20060418202851
acxb,5,3.0,,19961009175511
acxa,5,4.0,,19960613032148
acwb,5,3.0,,19970413170252
acwa,5,3.0,,20020418111335
acvb,5,4.5,,20050519041607
acva,5,3.0,,19961122155147
acub,5,3.0,,20001121201952
acua,5,3.5,,20061229215338
actb,5,3.0,,19970303161047
acyb,5,3.0,,20010624015325
acsb,5,3.0,,19991216172239
acta,5,3.0,,19970621221830
acpa,5,3.0,,20130621154414
acpb,5,4.0,,19960414142359
acqa,5,4.5,,20060220171025
acqb,5,3.0,,20001210042917
acob,5,4.0,,20020412211322
acra,5,1.0,,20160816221547
acrb,5,1.0,,19970122002748
acsa,5,3.0,,19961007112445
bcba,6,4.0,,20061229214749
bcfb,6,5.0,,19991008060314
bcca,6,5.0,,20090124152933
bccb,6,4.0,,20050322071046
bcda,6,3.5,,20060825023527
bcdb,6,4.0,,19960909194538
bcea,6,4.0,,19961122155009
bceb,6,4.0,,20060130221911
bcfa,6,4.0,,19970708094337
bcbb,6,1.0,,20001121203232
bcga,6,3.5,,20160519192435
bcka,6,4.0,,20140303234501
bcha,6,4.0,,20080126210241
bcla,6,4.0,,19961106091121
bckb,6,5.0,,19960801174118
bcjb,6,3.0,,19960701101351
bcja,6,4.0,,20080301232033
bcib,6,4.0,,20000108005413
bcia,6,4.0,,19961223012609
bchb,6,3.0,,19961120193328
bcab,6,3.0,,19970303161047
bbrb,6,5.0,,20141207053740
bcgb,6,3.0,,19970409080239
bcaa,6,2.5,,20060604231417
bbsa,6,4.0,,19980201224413
bbza,6,5.0,,20001104220905
bbgb,6,2.5,,20110901163015
bbga,6,3.0,,19961229122433
bbfb,6,3.0,,19970717010234
bbfa,6,4.0,,20000425173748
bbeb,6,3.0,,20050304203703
