,movieId,rating,timestamp,comments
0,949,3.5,20060527 091132,
1,949,4.0,20000424 175542,
2,949,2.0,20000407 073137,
3,949,5.0,20000425 185345,
4,949,3.0,20050604 005615,
5,949,3.0,19980616 144527,
6,949,4.0,19991111 183744,
7,949,5.0,20001119 214758,
8,949,4.5,20051204 223230,
9,949,3.5,20120622 224449,
10,949,2.0,20010108 065553,
11,949,3.0,19971114 102413,
12,949,4.0,20001121 033010,
13,949,4.0,20000805 142907,
14,949,3.0,20001121 211242,
15,949,4.0,20000108 004504,
16,710,1.0,20000508 141551,
17,710,2.0,19970623 135651,
18,1408,1.0,19961229 141900,
19,1408,5.0,20140206 035107,
20,1408,3.0,19970206 013510,
21,1408,3.5,20060527 090600,
22,1408,4.0,19981007 122803,
23,1408,4.5,20040312 133107,
24,1408,3.0,20140427 030544,
25,1408,4.5,20041010 175801,
26,1408,3.5,20080817 063452,
27,1408,5.0,20000407 053822,
28,1408,1.0,20041202 174228,
29,1408,4.0,20020124 052843,
30,1408,4.5,20050603 234510,
31,1408,4.5,20120118 205206,
32,1408,3.5,20111120 175914,
33,1408,4.0,19980912 065829,
34,1408,4.0,19991012 110309,
35,1408,4.5,20030827 195808,
36,1408,3.5,20050409 135914,
37,1408,3.0,20061126 220657,
38,1408,5.0,19991229 232750,
39,1408,4.0,19990727 225045,
40,1408,4.0,20030415 203715,
41,1408,5.0,19991216 040446,
42,1408,2.5,20110128 065123,
43,1408,4.5,20120609 234245,
44,1408,2.0,20000402 142029,
45,1408,3.0,19991015 185404,
46,1408,3.5,20140202 150414,
47,1408,2.0,20000602 171941,
48,1408,4.0,20001104 214023,
49,1408,3.0,19971114 152240,
50,1408,3.0,20001120 094946,
51,1408,4.0,19991231 050041,
52,1408,3.0,20020201 200159,
53,1408,3.0,20050322 070048,
54,1408,3.5,20090619 155001,
55,1408,4.0,20060130 222401,
56,1408,5.0,19970708 100411,
57,1408,4.0,20050413 150415,
58,1408,2.0,20020418 100506,
59,1408,5.0,19991101 204756,
60,1408,3.0,20010618 035138,
61,524,2.0,20060801 024557,
62,524,3.5,20120310 113805,
63,524,2.5,20061220 034627,
64,524,3.0,19961103 214615,
65,524,3.0,20001121 005045,
66,524,3.0,20001228 213501,
67,524,3.0,19970131 123822,
68,524,4.0,20111107 025719,
69,524,4.0,20100327 235448,
70,524,3.5,20091020 203318,
71,524,3.0,20050328 035509,
72,524,4.0,20030930 022123,
73,524,3.0,19961124 234853,
74,524,2.5,20080904 124357,
75,524,5.0,19961019 171449,
76,524,4.0,20090201 033118,
77,524,4.0,20031205 023318,
78,524,4.5,20080712 031250,
79,524,5.0,20050322 123107,
80,524,3.5,20031217 212039,
81,524,4.0,19991012 100747,
82,524,4.0,19970127 145747,
83,524,2.5,20030827 200212,
84,524,5.0,20001201 021316,
85,524,4.0,19991230 043245,
86,524,3.0,20021208 232752,
87,524,4.0,19960830 231943,
88,524,2.0,20001210 035107,
89,524,3.0,20110128 082143,
90,524,5.0,19960523 080719,
91,524,5.0,19960606 113413,
92,524,1.0,20020529 134921,
93,524,4.5,20100626 061107,
94,524,3.0,20050413 152412,
95,524,5.0,20090107 164159,
96,524,3.0,20010715 214653,
97,4584,5.0,20030926 224342,
98,5,4.5,20040821 063458,
99,5,3.0,19970215 114302,
100,5,3.0,19970318 174634,
101,5,3.0,19970214 132948,
102,5,5.0,20130424 193305,
103,5,5.0,19970122 173203,
104,5,3.0,19960716 102133,
105,5,3.0,20160331 062426,
106,5,4.0,19960815 091956,
107,5,3.0,20041010 174900,
108,5,5.0,19961009 180747,
109,5,4.0,19960910 023822,
110,5,1.0,20130219 032242,
111,5,4.5,20140421 081719,
112,5,2.5,20050424 021028,
113,5,3.0,19961218 135546,
114,5,4.0,19970109 063925,
115,5,4.0,19961019 170645,
116,5,4.0,20000525 030742,
117,5,2.5,20080817 063740,
118,5,4.0,19970221 133643,
119,5,4.5,20050411 015535,
120,5,3.0,20010606 211559,
121,5,2.0,19961107 041325,
122,5,3.0,19961229 122433,
123,5,4.0,19970121 203517,
124,5,4.0,20060217 051736,
125,5,3.5,20030903 200459,
126,5,2.0,20000418 182033,
127,5,3.5,20050110 110424,
128,5,3.0,19970506 071103,
129,5,3.0,19970623 132039,
130,5,2.0,19961216 081138,
131,5,2.0,20050224 205833,
132,5,2.0,20000508 141534,
133,5,4.0,20020412 211322,
134,5,3.0,20130621 154414,
135,5,4.0,19960414 142359,
136,5,4.5,20060220 171025,
137,5,3.0,20001210 042917,
138,5,1.0,20160816 221547,
139,5,1.0,19970122 002748,
140,5,3.0,19961007 112445,
141,5,3.0,19991216 172239,
142,5,3.0,19970621 221830,
143,5,3.0,19970303 161047,
144,5,3.5,20061229 215338,
145,5,3.0,20001121 201952,
146,5,3.0,19961122 155147,
147,5,4.5,20050519 041607,
