,id,name,movieId
1,931,jealousy,862.0
1,4290,toy,862.0
1,5202,boy,862.0
1,6054,friendship,862.0
1,9713,friends,862.0
1,9823,rivalry,862.0
1,165503,boy next door,862.0
1,170722,new toy,862.0
1,10090,board game,8844.0
1,10941,disappearance,8844.0
1,33467,new home,8844.0
1,158086,recluse,8844.0
1,1495,fishing,15602.0
1,12392,best friend,15602.0
1,179431,duringcreditsstinger,15602.0
1,818,based on novel,31357.0
1,10131,interracial relationship,31357.0
1,14768,single mother,31357.0
1,15160,divorce,31357.0
1,1009,baby,11862.0
1,1599,midlife crisis,11862.0
1,2246,confidence,11862.0
1,4995,aging,11862.0
1,5600,daughter,11862.0
1,10707,mother daughter relationship,11862.0
1,13149,pregnancy,11862.0
1,33358,contraception,11862.0
1,642,robbery,949.0
1,703,detective,949.0
1,974,bank,949.0
1,1523,obsession,949.0
1,3713,chase,949.0
1,7281,shooting,949.0
1,9727,thief,949.0
1,9812,honor,949.0
1,9826,murder,949.0
1,9937,suspense,949.0
1,10051,heist,949.0
1,10085,betrayal,949.0
1,10594,money,949.0
1,10726,gang,949.0
1,15076,cat and mouse,949.0
1,18023,criminal mastermind,949.0
1,34117,cult film,949.0
1,156121,ex-con,949.0
1,159343,heist movie,949.0
1,159434,one last job,949.0
1,167104,loner,949.0
1,192261,bank job,949.0
1,207268,neo-noir,949.0
1,208009,gun fight,949.0
1,90,paris,11860.0
1,380,brother brother relationship,11860.0
1,2072,chauffeur,11860.0
1,9398,long island,11860.0
1,9492,fusion,11860.0
1,949,terrorist,9091.0
1,1562,hostage,9091.0
1,1653,explosive,9091.0
1,701,cuba,710.0
1,769,falsely accused,710.0
1,1308,secret identity,710.0
1,2812,computer virus,710.0
1,3268,secret base,710.0
1,3272,secret intelligence service,710.0
1,3278,kgb,710.0
1,3376,satellite,710.0
1,3531,special car,710.0
1,3560,cossack,710.0
1,3561,electromagnetic pulse,710.0
1,3562,time bomb,710.0
1,3563,st. petersburg russia,710.0
1,3564,ejection seat,710.0
1,833,white house,9087.0
1,840,usa president,9087.0
1,1605,new love,9087.0
1,33476,widower,9087.0
1,3633,dracula,12110.0
1,1994,wolf,21032.0
1,6411,dog-sledding race,21032.0
1,9880,alaska,21032.0
1,15162,dog,21032.0
1,15169,goose,21032.0
1,158175,bear attack,21032.0
1,158370,dog sled,21032.0
1,840,usa president,10858.0
1,2946,presidential election,10858.0
1,4240,watergate scandal,10858.0
1,5565,biography,10858.0
1,6086,government,10858.0
1,911,exotic island,1408.0
1,1454,treasure,1408.0
1,1969,map,1408.0
1,3799,ship,1408.0
1,5470,scalp,1408.0
1,383,poker,524.0
1,726,drug abuse,524.0
1,1228,1970s,524.0
1,2635,overdose,524.0
1,420,bowling,4584.0
1,818,based on novel,4584.0
1,964,servant,4584.0
1,2755,country life,4584.0
1,7564,jane austen,4584.0
1,10911,inheritance,4584.0
1,11109,military officer,4584.0
1,15060,period drama,4584.0
1,156507,rainstorm,4584.0
1,156510,horse and carriage,4584.0
1,612,hotel,5.0
1,616,witch,5.0
1,622,bet,5.0
1,922,hotel room,5.0
1,2700,sperm,5.0
1,12670,los angeles,5.0
1,160488,hoodlum,5.0
1,187056,woman director,5.0
1,409,africa,9273.0
1,1551,indigenous,9273.0
1,2526,human animal relationship,9273.0
1,380,brother brother relationship,11517.0
1,1552,subway,11517.0
1,14512,new york city,11517.0
1,155735,new york subway,11517.0
1,395,gambling,8012.0
1,416,miami,8012.0
1,818,based on novel,8012.0
1,8438,job,8012.0
1,9826,murder,8012.0
1,9935,travel,8012.0
1,10391,mafia,8012.0
1,10594,money,8012.0
1,11061,debt,8012.0
1,11578,mobster,8012.0
1,12094,business,8012.0
1,12396,hollywood,8012.0
1,13142,gangster,8012.0
1,14536,crime,8012.0
1,14819,violence,8012.0
1,14964,drug,8012.0
1,33879,producer,8012.0
1,796,police brutality,1710.0
1,2800,psychology,1710.0
1,4668,police operation,1710.0
1,5430,police protection,1710.0
1,10714,serial killer,1710.0
1,11268,psychologist,1710.0
1,271,competition,9691.0
1,441,assassination,9691.0
1,591,cia,9691.0
1,974,bank,9691.0
1,977,cat,9691.0
1,1666,mexican standoff,9691.0
1,2350,seattle,9691.0
1,2708,hitman,9691.0
1,3045,mission of murder,9691.0
1,3979,hidden camera,9691.0
1,9823,rivalry,9691.0
1,10084,rescue,9691.0
1,10950,shootout,9691.0
1,11148,police chase,9691.0
1,12355,sniper rifle,9691.0
1,18107,silencer,9691.0
1,33456,double cross,9691.0
1,167861,caribbean,9691.0
1,7345,dead animal,12665.0
1,11325,shot to death,12665.0
1,18068,teenage boy,12665.0
1,18320,held at gunpoint,12665.0
1,41355,teacher student relationship,12665.0
1,163531,albino,12665.0
1,163533,fainting,12665.0
1,163534,jacobs ladder,12665.0
1,163540,christ allegory,12665.0
1,163543,psionic power,12665.0
1,163545,healing power,12665.0
1,163552,looking pale,12665.0
1,163553,flickering light,12665.0
1,30,individual,451.0
1,549,prostitute,451.0
1,567,alcohol,451.0
1,585,casino,451.0
1,699,love at first sight,451.0
1,725,lovesickness,451.0
1,887,film producer,451.0
1,888,screenwriter,451.0
1,922,hotel room,451.0
1,3737,dying and death,451.0
1,3927,rage and hate,451.0
1,6059,unsociability,451.0
1,7464,alcoholism,451.0
1,12670,los angeles,451.0
1,15237,alcohol abuse,451.0
1,497,shakespeare,16420.0
1,931,jealousy,16420.0
1,9713,friends,16420.0
1,1228,1970s,9263.0
1,5248,female friendship,9263.0
1,10683,coming of age,9263.0
1,170521,gynecologist,9263.0
1,170533,photocopier,9263.0
1,170539,truth or dare,9263.0
1,1316,captain,17015.0
1,33384,napoleonic wars,17015.0
1,33386,old flame,17015.0
1,897,rap music,9909.0
1,3436,karate,9909.0
1,6270,high school,9909.0
1,6610,naval officer,9909.0
1,10508,teacher,9909.0
1,222,schizophrenia,63.0
1,276,philadelphia,63.0
1,277,cassandra syndrom,63.0
1,278,stockholm syndrome,63.0
1,4379,time travel,63.0
1,4458,post-apocalyptic,63.0
1,4565,dystopia,63.0
1,14675,lethal virus,63.0
1,15149,monkey,63.0
1,3020,sheep,9598.0
1,4931,pig,9598.0
1,5608,affection,9598.0
1,8082,piglet,9598.0
1,11115,heroism,9598.0
1,11477,talking animal,9598.0
1,18013,separation,9598.0
1,33671,german shepherd,9598.0
1,158019,grandson,9598.0
1,392,england,47018.0
1,437,painter,47018.0
1,8997,conscientious objector,47018.0
1,10183,independent film,47018.0
1,378,prison,687.0
1,570,rape,687.0
1,1952,socially deprived family,687.0
1,2060,penalty,687.0
1,2122,death penalty,687.0
1,2300,despair,687.0
1,2501,death row,687.0
1,2538,begnadigung,687.0
1,2726,therapist,687.0
1,2796,self-discovery,687.0
1,2885,prison cell,687.0
1,3012,court case,687.0
1,3437,death sentence,687.0
1,3440,doomed man,687.0
1,3441,sentence,687.0
1,3442,lethal injection,687.0
1,3446,forgiveness,687.0
1,3447,charity,687.0
1,3448,mercy petition,687.0
1,3927,rage and hate,687.0
1,6059,unsociability,687.0
1,6145,right and justice,687.0
1,6148,court,687.0
1,11263,electric chair,687.0
1,13014,orphan,33689.0
1,1525,puberty,9603.0
1,6270,high school,9603.0
1,6664,make a match,9603.0
1,7208,spoiled child,9603.0
1,10199,gay interest,9603.0
1,11933,conflict,9603.0
1,392,england,31174.0
1,497,shakespeare,31174.0
1,1930,kidnapping,31174.0
1,9826,murder,31174.0
1,10594,money,11443.0
1,11254,loss of virginity,11443.0
1,159640,hiding in a dumpster,11443.0
1,159643,mercy killing,11443.0
1,159660,armored truck,11443.0
1,931,jealousy,35196.0
1,1279,medicine,35196.0
1,2098,fountain,35196.0
1,6148,court,35196.0
1,10329,wealth,35196.0
1,44448,spaniel,35196.0
1,779,martial arts,9312.0
1,1299,monster,9312.0
1,2041,island,9312.0
1,10292,gore,9312.0
1,10821,sorcerer,9312.0
1,12380,tournament,9312.0
1,14819,violence,9312.0
1,41645,based on video game,9312.0
1,596,adultery,577.0
1,1442,winter,577.0
1,1523,obsession,577.0
1,2136,television,577.0
1,6018,new hampshire,577.0
1,1334,wedding vows,11861.0
1,1459,marriage proposal,11861.0
1,2587,married couple,11861.0
1,5773,monogamy,11861.0
1,5999,advice,11861.0
1,6038,marriage,11861.0
1,9470,quilt,11861.0
1,9673,love,11861.0
1,33694,family holiday,11861.0
1,34094,extramarital affair,11861.0
1,164039,grandmother,11861.0
1,476,self-fulfilling prophecy,807.0
1,703,detective,807.0
1,1470,s.w.a.t.,807.0
1,2231,drug dealer,807.0
1,3597,evisceration,807.0
1,3857,lust and impulsiveness,807.0
1,3927,rage and hate,807.0
1,3932,pride and vanity,807.0
1,4138,immoderateness,807.0
1,4142,insomnia,807.0
1,5340,investigation,807.0
1,6125,pension,807.0
1,6149,police,807.0
1,1463,culture clash,10530.0
1,3591,settler,10530.0
1,3691,forbidden love,10530.0
1,4090,colony,10530.0
1,4344,musical,10530.0
1,4542,gold rush,10530.0
1,7376,princess,10530.0
1,9840,romance,10530.0
1,10322,native american,10530.0
1,10336,animation,10530.0
1,160977,virginia,10530.0
1,165086,star crossed lovers,10530.0
1,173808,reference to pizarro,10530.0
1,173811,jamestown virginia,10530.0
1,173815,pug dog,10530.0
1,173823,cross cultural relationship,10530.0
1,173824,musket,10530.0
1,173825,animate tree,10530.0
1,180217,indian chief,10530.0
1,185343,based on myths or folklore,10530.0
1,207941,17th century,10530.0
1,208426,shamanism,10530.0
1,225547,songs,10530.0
1,230456,indians vs. settlers,10530.0
1,234183,animal sidekick,10530.0
1,234184,powhatan,10530.0
1,1992,professor,8391.0
1,158718,lgbt,8391.0
1,3703,law,629.0
1,5493,relatives,629.0
1,14604,theft,629.0
1,15009,criminal,629.0
1,18023,criminal mastermind,629.0
1,18024,hungarian,629.0
1,549,prostitute,11448.0
1,2393,adoption,11448.0
1,4130,adoptive father,11448.0
1,5885,childlessness,11448.0
1,6230,looking for  birth parents,11448.0
1,8018,adoptive mother,11448.0
1,10183,independent film,11448.0
1,33625,illegal prostitution,11448.0
1,6075,sport,26441.0
1,9963,kids and family,26441.0
1,13042,soccer,26441.0
1,567,alcohol,97406.0
1,2679,artist,97406.0
1,6027,music,97406.0
1,14964,drug,97406.0
1,2672,baltimore,9089.0
1,4543,thanksgiving,9089.0
1,7629,family clan,9089.0
1,155294,family conflict,9089.0
1,171760,generations conflict,9089.0
1,1990,cupboard,11359.0
1,6186,games,11359.0
1,6300,puppet,11359.0
1,33465,parallel world,11359.0
1,570,rape,17182.0
1,1419,gun,17182.0
1,2801,self-defense,17182.0
1,1233,composer,2054.0
1,1310,mentor,2054.0
1,1635,deaf-mute,2054.0
1,4344,musical,2054.0
1,4488,apprentice,2054.0
1,5289,private life,2054.0
1,6027,music,2054.0
1,248,date,10607.0
1,398,slang,10607.0
1,898,hip-hop,10607.0
1,4438,cousin,10607.0
1,9755,parody,10607.0
1,10700,hood,10607.0
1,10726,gang,10607.0
1,11514,social satire,10607.0
1,12425,racism,10607.0
1,2041,island,19760.0
1,5918,painting,19760.0
1,9727,thief,19760.0
1,4166,biotope,9536.0
1,4459,vegetarian,9536.0
1,2157,hacker,11525.0
1,4563,virtual reality,11525.0
1,6104,computer,11525.0
1,897,rap music,10634.0
1,970,parent child relationship,10634.0
1,4562,rapper,10634.0
1,246,dancing,755.0
1,380,brother brother relationship,755.0
1,459,sexual obsession,755.0
1,797,showdown,755.0
1,798,sheriff,755.0
1,1664,eroticism,755.0
1,2483,nudity,755.0
1,2492,bank robber,755.0
1,3133,vampire,755.0
1,3649,holy water,755.0
1,4063,siege,755.0
1,6593,stripper,755.0
1,10093,priest,755.0
1,14601,explosion,755.0
1,14687,extreme violence,755.0
1,15363,bank robbery,755.0
1,18072,preacher,755.0
1,18233,hostage situation,755.0
1,41380,crucifix,755.0
1,163795,recreational vehicle,755.0
1,167664,blood spurting,755.0
1,168152,convenience store,755.0
1,174878,female vampire,755.0
1,188711,mexican american border,755.0
1,191441,nightclub entertainer,755.0
1,258,bomb,11859.0
1,416,miami,11859.0
1,572,sex,11859.0
1,703,detective,11859.0
1,772,handcuffs,11859.0
1,818,based on novel,11859.0
1,1562,hostage,11859.0
1,1812,fbi,11859.0
1,1930,kidnapping,11859.0
1,2808,russian,11859.0
1,3278,kgb,11859.0
1,3713,chase,11859.0
1,4426,sadism,11859.0
1,4530,parking garage,11859.0
1,4735,pizza,11859.0
1,5430,police protection,11859.0
1,6259,psychopath,11859.0
1,9714,remake,11859.0
1,9844,car crash,11859.0
1,10410,conspiracy,11859.0
1,10562,on the run,11859.0
1,10718,fugitive,11859.0
1,10950,shootout,11859.0
1,12371,gunfight,11859.0
1,13125,sadist,11859.0
1,14967,foot chase,11859.0
1,15167,police detective,11859.0
1,15321,police station,11859.0
1,15483,car chase,11859.0
1,18320,held at gunpoint,11859.0
1,18525,fbi agent,11859.0
1,33456,double cross,11859.0
1,34117,cult film,11859.0
1,155555,computer hacker,11859.0
1,156650,machine gun,11859.0
1,156788,swat team,11859.0
1,156816,grenade launcher,11859.0
1,158247,underwater scene,11859.0
1,176802,rogue agent,11859.0
1,181145,woman lawyer,11859.0
1,2778,florist,20927.0
1,312,man vs machine,9102.0
1,10158,alien planet,9102.0
1,6381,loss of daughter,27526.0
1,6440,hit-and-run driving ,27526.0
1,9748,revenge,27526.0
1,9937,suspense,27526.0
1,10183,independent film,27526.0
1,1417,jurors,9623.0
1,1936,blackmail,9623.0
1,3012,court case,9623.0
1,5153,son,9623.0
1,11038,trial,9623.0
1,494,father son relationship,400.0
1,801,bounty hunter,400.0
1,1422,boat,400.0
1,1587,way of life,400.0
1,1909,coffin,400.0
1,1977,denver,400.0
1,2022,godmother,400.0
1,2340,paranoia,400.0
1,2708,hitman,400.0
1,6054,friendship,400.0
1,6259,psychopath,400.0
1,9748,revenge,400.0
1,9826,murder,400.0
1,10183,independent film,400.0
