,credit_id,department,gender,id,job,name,profile_path,movieId
0,52fe4284c3a36847f8024f49,Directing,2,7879,Director,John Lasseter,/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg,862.0
1,52fe44bfc3a36847f80a7c7d,Directing,2,4945,Director,Joe Johnston,/fok4jaO62v5IP6hkpaaAcXuw2H.jpg,8844.0
2,52fe466a9251416c75077a89,Directing,2,26502,Director,Howard Deutch,/68Vae1HkU1NxQZ6KEmuxIpno7c9.jpg,15602.0
3,52fe44779251416c91011acb,Directing,2,2178,Director,Forest Whitaker,/4pMQkelS5lK661m9Kz3oIxLYiyS.jpg,31357.0
4,52fe44959251416c75039eef,Directing,2,56106,Director,Charles Shyer,/hnWGd74CbmTcDCFQiJ8SYLazIXW.jpg,11862.0
5,52fe4292c3a36847f802916d,Directing,2,638,Director,Michael Mann,/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg,949.0
6,52fe44959251416c75039da9,Directing,2,2226,Director,Sydney Pollack,/zxkoU2diKtvarV1Qk4z9He2lJj9.jpg,11860.0
7,52fe46bdc3a36847f810f76d,Directing,2,18357,Director,Peter Hewitt,/wP8EyttEB2xca7udNERQb07eAda.jpg,45325.0
8,52fe44dbc3a36847f80ae0f1,Directing,2,37710,Director,Peter Hyams,/dAuDsStGGlUESaaAYQf0GCE2JWo.jpg,9091.0
9,52fe426ec3a36847f801e14b,Directing,2,10702,Director,Martin Campbell,/qhx0AySf8yH3kiHrinWknUJbr1y.jpg,710.0
10,52fe44dac3a36847f80adf8b,Directing,2,3026,Director,Rob Reiner,/2zw9Iq9uo4vZiTQNQWdNFwbA1TA.jpg,9087.0
11,52fe44b79251416c7503e7e3,Directing,2,14639,Director,Mel Brooks,/ndFo3LOYNCUghQTK833N1Wtuynr.jpg,12110.0
12,52fe4409c3a368484e00bb6f,Directing,2,21879,Director,Simon Wells,/sfartDj5d9bclP91YuunnaL7Fer.jpg,21032.0
13,52fe43c59251416c7501d6f3,Directing,2,1152,Director,Oliver Stone,/uHdNGBkrI74eYfUP2Uie7nuo0Nn.jpg,10858.0
14,52fe42f4c3a36847f802f681,Directing,2,16938,Director,Renny Harlin,/lOCRZzC1UZfkObWpQtKxga5ZV8F.jpg,1408.0
15,52fe424dc3a36847f80139cd,Directing,2,1032,Director,Martin Scorsese,/4Xwx5XL1RJj0JQmEo8Fhr6nkpOg.jpg,524.0
16,52fe43cec3a36847f807101f,Directing,2,1614,Director,Ang Lee,/uTX0uIBLl3JIQunuAMDRHLorffh.jpg,4584.0
17,52fe420dc3a36847f800012d,Directing,1,3110,Director,Allison Anders,/rsfxpcNEdmNqZyNcct0J695LhBK.jpg,5.0
18,52fe44dfc3a36847f80af28b,Directing,2,4489,Director,Steve Oedekerk,/qUkJ4GbyAdloVjVxCUlxLT23wIe.jpg,9273.0
19,52fe448dc3a36847f809c729,Directing,2,5174,Director,Barry Sonnenfeld,/m8vIfbXI44Fd8VK7HSJRisYQjQc.jpg,8012.0
20,52fe430ec3a36847f8037233,Directing,2,15148,Director,Jon Amiel,/tZf4VLvFobxizCzDQ6xQdygGT9.jpg,1710.0
21,52fe451cc3a36847f80bd145,Directing,2,7187,Director,Richard Donner,/2G0gyLVJzLmRl4W3sFyaVfxppJJ.jpg,9691.0
22,52fe45129251416c7504ab67,Directing,2,56349,Director,Victor Salva,/4E9UY4sm2n28iQXIAiKrrwenezp.jpg,12665.0
23,52fe4245c3a36847f80111a5,Directing,2,6111,Director,Mike Figgis,/nIaxYZkNX6j70VQyHwzed1QxOXD.jpg,451.0
24,52fe46d29251416c75084b07,Directing,2,56710,Director,Oliver Parker,/3qdUN7qhcQn4P3tEOTKJgTUdCIr.jpg,16420.0
25,52fe44dec3a36847f80aed45,Directing,1,15798,Director,Lesli Linka Glatter,/8F13UPsRnXWTDcp8iA3ZXMtfJa3.jpg,9263.0
26,52fe46ff9251416c7508a8b3,Directing,2,7017,Director,Roger Michell,/zDjSgsAY44QJljrvzIZWnWauqlg.jpg,17015.0
27,52fe4212c3a36847f8001ac7,Directing,2,280,Director,Terry Gilliam,/cFno5isSPvfPEkSdVoEzOs0pJCh.jpg,63.0
28,52fe450fc3a36847f80b9fc7,Directing,2,58137,Director,Chris Noonan,/srA6cz8Lis3GutJm66IIYyefQCu.jpg,9598.0
29,52fe471bc3a36847f8123aa9,Directing,2,12952,Director,Christopher Hampton,/7L7S5KHE21jFGL2IS1VXqQJxx9R.jpg,47018.0
30,52fe426ac3a36847f801ceed,Directing,2,504,Director,Tim Robbins,/7pirFsBQe93TSfzu404Hgcj1YWj.jpg,687.0
31,52fe45309251416c9102a49d,Directing,2,17167,Director,Andy Tennant,/9gK8xFzybwDnWENijTdDHiP4M6o.jpg,33689.0
32,52fe4510c3a36847f80ba261,Directing,1,57434,Director,Amy Heckerling,/c68tZT9Be1triBbKmSOKCS3dsBI.jpg,9603.0
